iter	RMSE
0	0.3376041929
1	0.2789280171
2	0.2385543445
3	0.2095734447
4	0.1903381419
5	0.1740111132
6	0.1632819157
7	0.1550874105
8	0.1484601105
9	0.1431555599
10	0.1380930649
11	0.1349813339
12	0.1318620488
13	0.1288972136
14	0.1270773264
15	0.1247239369
16	0.1227568133
17	0.121594311
18	0.1195658797
19	0.1178931181
20	0.1167922242
21	0.1153537138
22	0.1132787601
23	0.1120862901
24	0.1107130819
25	0.1096936011
26	0.1086435825
27	0.1071414723
28	0.1057259491
29	0.1050021752
30	0.1030721827
31	0.1026335937
32	0.1013661891
33	0.09941192611
34	0.09896068217
35	0.09820938706
36	0.09643107036
37	0.09533562398
38	0.09504835013
39	0.09405201521
40	0.09228600472
41	0.09186913512
42	0.09064115641
43	0.08881730963
44	0.08783609806
45	0.08642744359
46	0.08614811265
47	0.08509305863
48	0.08489551899
49	0.08343872784
50	0.0829141665
51	0.0816010372
52	0.08072798406
53	0.07943037496
54	0.0782054949
55	0.07717525746
56	0.0765347328
57	0.07628917037
58	0.07543896824
59	0.07458099316
60	0.07393215728
61	0.07301772406
62	0.07204405865
63	0.07125251327
64	0.07063491364
65	0.0698888952
66	0.06911889574
67	0.06853388427
68	0.06818168197
69	0.06737182407
70	0.06666944555
71	0.06609212195
72	0.06548184361
73	0.06474251797
74	0.06381632675
75	0.06308503257
76	0.06272643742
77	0.06234951414
78	0.06186566663
79	0.06110205337
80	0.06045037785
81	0.05999137755
82	0.05958616406
83	0.05925426579
84	0.05875053973
85	0.05814437549
86	0.05772904086
87	0.05750680448
88	0.05739714683
89	0.05706159817
90	0.05682004714
91	0.05650402402
92	0.05597402361
93	0.05532439782
94	0.05495235507
95	0.05432401577
96	0.05395896172
97	0.05322515676
98	0.05259329596
99	0.05216926633
